change_id,project,author_name,target,safe_entropy_interaction,is_bot,is_deployment_project,is_pure_config,is_fix,is_feature,is_maintenance,is_deployment,is_ci_change,is_refactor,config_line_ratio,code_line_ratio,churn_density,change_entropy,file_count,churn_log_size,deletion_ratio,msg_readability_ease,msg_gunning_fog,references_bug_tracker,has_subject_tag,modifies_db_migration,modifies_dependencies,modifies_config,modifies_public_api,has_security_impact,is_test_change,is_revert,is_documentation_only,directory_depth,file_extension_entropy,has_gerrit_topic,author_success_rate,author_submission_count,author_trust_score,project_acceptance_rate,historical_file_prob
openstack%2Fkolla~762997,openstack/kolla,Mark Goddard,1,1.0,0,1,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,2,1.0986122886681098,0.0,28.50000000000003,16.933333333333334,0,0,0,0,1,0,0,0,0,0,2.5,2,1,0.8181818181818182,22,0.014211886304909561,0.8214285714285714,0.0
openstack%2Fkolla-ansible~763011,openstack/kolla-ansible,Michał Nasiadka,0,0.4394969869215134,0,1,1,0,0,0,0,1,0,1.0,0.0,5.5,0.4394969869215134,2,2.4849066497880004,0.0,34.160909090909115,11.672727272727274,1,0,0,0,0,0,0,0,0,0,4.0,2,1,0.0,0,0.0,0.7761194029850746,0.5
openstack%2Foctavia~763092,openstack/octavia,Michael Johnson,0,0.6193821946787638,0,0,1,0,1,0,0,1,0,1.0,0.0,6.5,0.6193821946787638,2,2.6390573296152584,0.0,51.17500000000004,10.0,0,0,0,0,1,0,0,0,0,0,2.0,1,0,0.4639175257731959,97,0.00390892605279065,0.5145631067961165,0.36363636363636365
openstack%2Fkolla-ansible~763134,openstack/kolla-ansible,lixuehai,0,0.0,0,1,1,0,0,0,1,0,0,1.0,0.0,1.0,0.0,1,0.6931471805599453,0.0,35.0346428571429,17.533333333333335,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0.0,0,0.0,0.7647058823529411,0.0
openstack%2Fpython-magnumclient~763156,openstack/python-magnumclient,Tobias Urdin,1,0.0,0,0,0,1,0,0,0,0,0,0.0,1.0,3.0,0.0,1,1.3862943611198906,0.0,83.0092307692308,5.2,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0.0,0,0.0,0.0,0.0
openstack%2Foctavia~763187,openstack/octavia,Gregory Thiemonge,1,0.0,0,0,0,1,0,0,0,1,0,0.037267080745341616,0.9627329192546584,53.666666666666664,0.427549057908742,3,5.087596335232384,0.0,37.372413793103476,18.49655172413793,0,0,0,0,1,1,0,0,0,0,4.666666666666667,2,0,0.65625,32,0.002995693690320164,0.5120772946859904,0.5
openstack%2Fkolla-ansible~763191,openstack/kolla-ansible,wu.chunyang,0,2.3385881180521557,0,1,1,0,0,0,1,0,0,1.0,0.0,24.285714285714285,2.3385881180521557,7,5.14166355650266,0.8117647058823529,46.030716981132116,13.296603773584906,0,0,0,0,1,0,0,0,0,0,4.714285714285714,3,1,0.6,5,0.010989010989010988,0.7536231884057971,1.0
openstack%2Fkayobe~763329,openstack/kayobe,wu.shiming,1,0.0,0,1,1,0,0,1,0,1,0,1.0,0.0,10.0,0.0,1,2.3978952727983707,0.5,-35.96449999999999,17.8,0,0,0,0,1,0,0,0,0,0,1.0,1,0,1.0,1,0.33333333333333326,0.9166666666666666,0.2857142857142857
openstack%2Foctavia-dashboard~763352,openstack/octavia-dashboard,Gregory Thiemonge,0,0.0,0,0,0,0,1,0,0,0,0,0.05,0.6,9.090909090909092,2.473354211865888,11,4.61512051684126,0.06,68.28999999999999,9.866666666666667,0,0,0,1,1,1,0,0,0,0,5.636363636363637,5,0,0.6666666666666666,33,0.0030434381628700537,0.09523809523809523,0.25
openstack%2Foctavia-dashboard~763353,openstack/octavia-dashboard,Gregory Thiemonge,1,0.0,0,0,0,0,0,0,0,1,0,0.006151142355008787,0.08787346221441125,94.83333333333333,2.106955770546304,12,7.037905963447182,0.4279437609841828,32.504999999999995,14.8,0,0,0,0,1,1,0,0,0,0,7.5,3,0,0.6470588235294118,34,0.003107009046879283,0.09090909090909091,1.0
openstack%2Fkolla~763491,openstack/kolla,likui,0,0.0,0,1,0,0,0,0,1,0,0,0.5,0.5,6.4,2.1266144718101816,5,3.4965075614664802,0.5,61.24000000000001,8.200000000000001,0,0,0,0,0,0,0,0,0,0,3.0,3,1,0.6,5,0.07575757575757575,0.8275862068965517,0.7142857142857143
